FMID,Credit,WIC,WICcash,SFMNP,SNAP
1004761,Y,Y,N,Y,Y
1007016,N,N,N,N,N
1002222,N,N,N,N,N
1008252,Y,N,N,Y,Y
1003236,N,N,N,N,N
1011910,Y,N,N,N,N
1010597,Y,N,N,N,N
1000519,N,Y,N,N,N
1018643,Y,Y,N,Y,Y
1007366,Y,Y,N,Y,Y
1011196,Y,Y,Y,Y,Y
1007217,N,N,N,N,N
1001300,N,N,N,N,N
1007528,N,N,N,N,N
1008835,Y,Y,Y,Y,Y
1005548,Y,N,N,N,N
1011735,Y,Y,N,N,Y
1010096,Y,N,N,N,N
1000268,N,N,N,N,N
1000168,N,N,N,N,N
1001962,Y,Y,N,Y,N
1002717,Y,Y,N,Y,Y
1008262,Y,N,N,N,N
1018160,Y,N,N,Y,Y
1018165,Y,N,N,Y,Y
1018105,Y,N,N,Y,Y
1011777,Y,Y,N,Y,Y
1007413,N,N,N,N,N
1007716,N,N,N,N,N
1007083,N,N,N,N,N
1002964,N,N,N,N,N
1005675,N,Y,N,Y,Y
1006739,Y,N,N,N,N
1002683,N,Y,N,Y,N
1005134,N,Y,N,N,Y
1006816,N,N,N,N,N
1002250,N,N,N,Y,N
1007836,N,N,N,N,N
1012389,Y,Y,N,N,Y
1010476,Y,N,N,Y,Y
1005447,Y,N,N,N,N
1009792,Y,N,N,N,Y
1009998,Y,Y,N,Y,Y
1004383,N,Y,N,Y,N
1000357,N,N,N,N,N
1006749,Y,N,Y,Y,Y
1004154,N,N,N,N,N
1001100,N,N,Y,N,N
1011421,Y,Y,N,N,Y
1001733,N,N,N,N,N
1005644,Y,Y,N,Y,N
1005645,Y,Y,N,Y,N
1005646,Y,Y,N,Y,N
1001826,N,N,N,N,N
1008321,N,N,N,N,N
1008399,Y,N,N,N,N
1006373,N,N,N,N,N
1001367,N,N,N,N,N
1005946,N,N,N,N,N
1005188,N,Y,Y,Y,N
1011171,Y,Y,N,Y,N
1000284,Y,Y,Y,Y,Y
1006748,Y,Y,Y,Y,Y
1009833,Y,N,N,N,Y
1001135,Y,Y,N,Y,Y
1010105,Y,N,N,N,Y
1016853,Y,Y,N,Y,Y
1012157,Y,N,N,N,Y
1005944,Y,Y,N,Y,Y
1001105,N,N,N,N,N
1003055,N,N,N,N,N
1007258,Y,Y,Y,Y,Y
1002640,N,Y,N,Y,N
1016848,Y,Y,N,Y,Y
1008251,Y,Y,Y,Y,Y
1008727,Y,N,Y,Y,N
1000971,N,N,N,N,N
1004991,Y,N,Y,N,N
1002089,N,N,N,N,N
1003516,Y,Y,Y,Y,Y
1007647,N,N,N,N,N
1012040,Y,N,N,N,N
1000287,N,N,N,N,N
1006378,Y,Y,N,Y,N
1010280,Y,N,N,N,Y
1006268,N,Y,N,Y,N
1010223,Y,Y,N,Y,Y
1010380,Y,Y,Y,Y,Y
1001782,N,N,N,N,N
1012588,Y,N,N,N,N
1001142,Y,Y,N,Y,N
1004881,N,N,N,N,N
1001465,N,N,N,N,N
1007646,N,N,N,N,N
1007636,N,N,N,N,N
1000306,Y,N,N,N,Y
1000405,N,N,Y,N,N
1011248,Y,N,N,N,N
1012651,Y,Y,Y,Y,Y
1000434,N,N,N,N,N
1004557,Y,Y,N,Y,N
1011109,Y,Y,N,Y,N
1011158,Y,N,N,N,Y
1005207,N,N,N,N,N
1000683,Y,N,Y,N,Y
1000685,Y,N,Y,N,Y
1006889,N,N,N,N,N
1018356,Y,N,N,N,N
1000431,Y,Y,Y,N,Y
1009687,Y,Y,N,N,Y
1001738,Y,Y,N,Y,Y
1010986,Y,Y,N,Y,Y
1008482,Y,N,N,N,N
1001764,N,Y,N,N,N
1000558,Y,N,N,N,N
1012474,Y,Y,Y,Y,Y
1012410,Y,Y,Y,Y,Y
1012375,Y,Y,Y,Y,Y
1012453,Y,Y,Y,Y,Y
1012422,Y,Y,Y,Y,Y
1012455,Y,Y,Y,Y,Y
1012477,Y,Y,Y,Y,Y
1012413,Y,Y,Y,Y,Y
1012419,Y,Y,Y,Y,Y
1012454,Y,Y,Y,Y,Y
1012374,Y,Y,Y,Y,Y
1012427,Y,Y,Y,Y,Y
1012377,Y,Y,Y,Y,Y
1002085,Y,Y,N,Y,Y
1018326,Y,N,N,N,N
1007662,N,N,N,N,N
1002798,N,Y,N,Y,N
1010882,Y,N,N,N,Y
1002314,N,N,N,N,N
1005928,N,N,N,N,N
1005927,N,N,N,N,N
1002621,N,N,N,N,N
1002622,N,N,N,N,N
1002620,N,N,N,N,N
1001018,Y,N,N,N,N
1017963,Y,N,N,Y,N
1008236,Y,N,Y,N,N
1009968,Y,Y,N,Y,N
1018253,Y,N,N,Y,Y
1018561,Y,Y,N,Y,Y
1003571,N,N,N,N,N
1010945,Y,N,N,N,Y
1011958,Y,N,Y,N,Y
1011122,Y,Y,N,Y,Y
1012822,Y,Y,Y,Y,Y
1001991,Y,N,N,N,N
1000294,N,N,N,N,N
1001892,N,N,N,N,N
1001893,N,N,N,N,N
1006270,N,N,N,N,N
1008855,Y,N,N,N,N
1010575,Y,N,N,N,N
1008534,Y,Y,N,Y,N
1007842,N,N,N,N,N
1005081,Y,N,N,N,Y
1009285,Y,N,N,N,N
1009272,Y,N,N,N,N
1004350,Y,N,Y,N,N
1000397,N,N,N,N,N
1002490,N,N,N,N,N
1003061,Y,N,N,N,N
1016829,Y,N,N,N,N
1007600,N,N,N,N,N
1003575,N,N,N,N,N
1003219,Y,Y,N,Y,Y
1008904,Y,N,N,Y,Y
1008905,Y,N,N,N,Y
1000887,N,Y,N,N,N
1007501,N,N,N,N,N
1005158,Y,Y,N,Y,Y
1009810,Y,Y,Y,Y,Y
1008897,Y,N,N,N,N
1007787,N,N,N,N,N
1000465,N,N,N,N,N
1003642,N,N,N,N,N
1006964,N,N,N,N,N
1000836,Y,N,N,N,N
1008599,Y,Y,N,Y,Y
1004530,N,N,N,N,N
1009244,Y,N,N,N,N
1004692,Y,N,N,N,Y
1005837,N,N,N,N,N
1000086,Y,Y,Y,Y,Y
1003661,Y,Y,Y,Y,Y
1001245,Y,Y,Y,N,Y
1004818,Y,N,N,Y,N
1009516,Y,N,N,N,N
1009447,Y,N,N,N,N
1003911,N,N,N,N,N
1001294,N,N,N,N,N
1002984,Y,N,N,Y,N
1003223,N,N,N,N,N
1018305,Y,Y,N,Y,N
1005086,Y,Y,N,Y,Y
1010034,Y,N,N,N,Y
1008974,Y,N,N,N,Y
1018033,Y,N,N,N,Y
1018032,Y,N,N,N,Y
1000297,Y,N,N,N,Y
1011861,Y,N,N,N,N
1002987,Y,N,N,N,Y
1000750,Y,Y,N,Y,Y
1006095,N,N,N,N,N
1000708,N,Y,N,Y,N
1000464,N,Y,Y,Y,N
1006303,Y,N,Y,N,N
1001992,N,N,N,N,N
1001503,Y,Y,Y,Y,Y
1002860,Y,N,N,Y,N
1018330,Y,N,Y,Y,N
1010003,Y,Y,Y,Y,Y
1000655,N,N,N,N,N
1006311,N,N,N,N,N
1002377,Y,Y,Y,Y,Y
1003772,N,N,N,N,N
1001349,N,N,N,N,N
1006712,N,N,N,N,N
1018270,Y,Y,Y,Y,Y
1006410,Y,N,N,N,Y
1011950,Y,Y,N,Y,Y
1001569,N,N,N,N,N
1000736,N,N,N,N,N
1003923,N,N,N,Y,N
1005375,N,N,N,N,N
1008999,Y,N,N,N,N
1003866,N,N,N,N,N
1004300,Y,Y,N,N,Y
1000870,Y,Y,Y,N,N
1000559,Y,N,N,N,N
1005604,Y,N,N,N,N
1010694,Y,N,N,N,Y
1011929,Y,N,N,N,Y
1011927,Y,N,N,N,Y
1011928,Y,N,N,N,Y
1001695,N,Y,Y,Y,N
1002491,N,N,N,N,N
1012430,Y,Y,N,Y,Y
1011490,Y,N,N,N,N
1011826,Y,Y,Y,Y,Y
1005376,N,N,N,N,N
1010695,Y,N,N,N,N
1003539,Y,N,N,N,N
1007033,N,N,N,N,N
1018390,Y,N,Y,N,Y
1011092,Y,N,N,Y,N
1000898,N,N,N,Y,N
1000502,N,N,N,N,N
1003520,N,Y,N,N,Y
1007435,N,N,N,N,N
1006907,N,N,N,N,N
1004803,Y,Y,N,Y,Y
1010696,Y,N,N,N,N
1005235,N,N,N,N,N
1010697,Y,N,N,N,N
1002624,N,N,N,N,N
1000029,N,N,N,N,N
1005228,N,N,N,N,N
1010608,Y,N,N,N,N
1004633,Y,Y,N,Y,Y
1003411,Y,Y,Y,Y,Y
1000540,N,N,N,N,N
1003134,N,N,N,N,N
1001448,N,N,N,N,N
1001017,N,N,N,N,N
1007121,N,N,N,N,N
1004882,N,N,N,N,N
1009475,Y,N,N,N,N
1009163,Y,N,N,N,N
1003720,N,N,N,N,N
1018417,Y,N,N,Y,N
1008721,N,N,N,N,N
1011333,Y,Y,N,Y,Y
1006740,N,N,N,N,N
1003662,Y,Y,N,Y,N
1003814,N,N,N,N,N
1006519,N,Y,N,Y,N
1000790,Y,Y,Y,Y,Y
1001027,N,N,N,N,N
1010688,Y,N,N,N,N
1008053,Y,N,N,N,Y
1012081,Y,Y,N,N,Y
1012134,Y,N,N,N,N
1010152,Y,N,N,N,N
1002881,Y,N,N,N,N
1004549,Y,Y,Y,Y,Y
1001612,N,N,N,N,N
1008918,Y,Y,Y,Y,Y
1007268,N,Y,N,Y,N
1008466,Y,N,N,N,N
1003082,N,Y,Y,Y,N
1018168,Y,Y,N,Y,N
1001604,N,N,N,N,N
1003211,N,N,N,N,N
1000353,N,N,N,N,N
1002354,N,Y,Y,Y,N
1018517,Y,N,N,N,Y
1003976,N,Y,Y,Y,N
1002269,N,N,N,N,N
1007010,N,N,N,N,N
1003550,N,N,N,N,N
1012205,Y,Y,Y,Y,N
1002936,N,N,N,N,N
1006001,Y,Y,N,Y,Y
1002564,N,N,N,N,N
1006441,N,N,N,N,N
1008194,Y,N,N,Y,N
1009308,Y,N,N,N,N
1009402,Y,N,N,N,N
1003335,N,N,N,N,N
1010197,N,N,N,N,N
1009522,Y,N,N,N,N
1004987,Y,Y,N,N,N
1000436,Y,N,N,N,Y
1005439,N,N,N,N,N
1006462,Y,N,N,N,N
1001325,N,Y,N,Y,Y
1007420,Y,Y,N,Y,Y
1002294,N,N,N,N,N
1007305,N,Y,Y,Y,N
1010533,Y,N,N,N,N
1009051,Y,Y,N,Y,Y
1003806,Y,N,N,N,Y
1004026,N,N,N,N,N
1000919,N,N,N,N,N
1003239,N,N,N,N,N
1000057,Y,Y,Y,Y,Y
1005817,N,Y,N,N,N
1016880,Y,N,N,N,Y
1003728,N,N,N,N,N
1007808,N,N,N,N,N
1004003,N,N,N,N,N
1010298,N,N,N,N,N
1012004,Y,N,N,N,Y
1008861,Y,N,N,N,N
1007020,N,N,N,N,N
1009448,Y,N,N,N,N
1003912,Y,N,N,N,N
1009473,Y,N,N,N,N
1012753,Y,N,N,N,N
1001852,Y,N,Y,N,Y
1006359,Y,Y,Y,Y,Y
1018391,Y,Y,Y,Y,Y
1009334,Y,N,N,N,N
1018602,Y,N,N,Y,Y
1018294,Y,N,N,N,N
1001275,Y,Y,N,Y,Y
1001827,N,N,N,N,N
1011675,Y,Y,N,N,Y
1001828,N,N,N,N,N
1007999,Y,Y,N,Y,N
1001403,Y,Y,Y,Y,Y
1008103,Y,Y,Y,Y,Y
1011291,Y,Y,N,Y,Y
1011041,Y,Y,N,Y,N
1010175,Y,N,N,N,Y
1001912,Y,N,N,N,N
1018388,Y,N,Y,N,N
1009202,Y,N,N,N,N
1005936,N,N,N,N,N
1018658,Y,N,N,Y,N
1010368,Y,Y,N,Y,N
1006161,Y,N,N,N,N
1005696,N,N,N,N,N
1010607,Y,Y,Y,Y,N
1012635,Y,N,N,Y,Y
1011913,Y,N,N,N,N
1004782,Y,Y,N,Y,Y
1009384,Y,N,N,N,N
1008797,Y,Y,Y,N,Y
1004852,N,N,N,N,N
1007195,N,N,N,N,N
1007653,N,N,N,N,N
1007182,N,N,N,N,N
1004824,N,N,N,N,N
1003347,N,N,N,N,N
1011051,Y,Y,N,Y,N
1012629,Y,Y,N,Y,N
1001076,N,N,N,N,N
1010227,Y,N,N,N,N
1007114,N,N,N,N,N
1011902,Y,N,N,Y,N
1001082,N,N,N,N,N
1001176,N,N,N,N,N
1008875,N,Y,N,Y,N
1005468,N,N,N,N,N
1002917,Y,Y,N,Y,Y
1001204,Y,Y,N,Y,Y
1010259,Y,N,N,Y,Y
1004973,N,N,N,N,N
1008140,Y,Y,N,Y,Y
1000940,N,N,N,N,N
1009929,Y,N,N,N,N
1005168,N,N,N,N,N
1011488,Y,Y,N,Y,Y
1002064,Y,Y,Y,Y,Y
1009323,Y,N,N,N,N
1001640,Y,Y,N,Y,Y
1000530,N,N,N,N,N
1011363,Y,N,N,N,N
1003956,Y,Y,Y,Y,N
1009956,Y,N,N,N,N
1008877,Y,Y,N,N,N
1008722,Y,Y,Y,Y,Y
1001316,Y,Y,N,N,N
1007658,N,N,N,N,N
1001533,Y,Y,N,N,Y
1018644,Y,N,N,N,N
1000934,N,N,N,N,N
1012679,Y,N,N,N,Y
1018646,Y,Y,Y,Y,Y
1005543,N,N,N,N,N
1008920,Y,Y,Y,Y,Y
1009219,Y,N,N,N,N
1000333,N,N,N,N,N
1004458,N,N,N,N,N
1010815,Y,N,N,Y,N
1005291,Y,Y,N,Y,Y
1012718,Y,Y,Y,Y,Y
1010940,Y,Y,N,Y,Y
1012011,Y,Y,N,Y,Y
1009491,Y,N,N,N,N
1005183,Y,Y,N,Y,Y
1007371,Y,Y,Y,Y,Y
1004320,Y,Y,N,Y,N
1005773,Y,N,N,N,Y
1011835,Y,N,N,N,Y
1001622,N,Y,N,Y,N
1007659,N,Y,N,Y,N
1011942,Y,Y,Y,Y,Y
1012087,Y,N,N,N,N
1011252,Y,N,N,N,Y
1001424,Y,Y,Y,Y,Y
1011221,Y,N,N,N,Y
1002802,N,N,N,N,N
1010605,Y,N,N,N,N
1011447,Y,Y,N,N,Y
1004403,Y,Y,N,Y,N
1011149,Y,N,N,N,N
1011685,Y,N,N,N,N
1010832,Y,N,N,N,N
1018067,Y,N,N,Y,Y
1016774,Y,N,N,N,N
1005277,Y,Y,N,Y,N
1007052,N,N,N,N,N
1010111,N,N,N,N,N
1004386,N,N,N,N,N
1003666,Y,N,N,Y,N
1007462,N,N,N,N,N
1000745,Y,N,N,N,N
1010406,Y,Y,N,N,N
1012494,Y,Y,N,Y,Y
1018161,Y,Y,Y,Y,Y
1005222,N,N,N,N,N
1000335,Y,Y,N,Y,Y
1001460,Y,Y,N,Y,Y
1018429,Y,N,N,N,N
1009978,Y,Y,Y,Y,Y
1004627,N,N,N,N,N
1005949,Y,Y,Y,Y,Y
1002540,N,N,N,N,N
1011915,Y,N,N,N,N
1011917,Y,N,N,N,N
1005765,N,N,N,N,N
1007345,N,N,N,N,N
1000700,Y,Y,N,Y,N
1005730,Y,N,N,N,N
1006345,Y,N,N,Y,Y
1001879,N,N,N,N,N
1008121,Y,Y,N,N,Y
1009854,Y,Y,Y,N,N
1008122,Y,Y,N,Y,Y
1018044,Y,N,N,N,N
1000443,N,N,N,N,N
1010217,Y,N,N,N,N
1005217,Y,Y,Y,Y,N
1011692,Y,N,N,N,N
1011854,Y,Y,Y,Y,N
1003485,N,N,N,N,N
1011037,Y,N,N,N,Y
1003953,N,N,N,N,N
1003954,N,N,N,Y,N
1009738,N,N,N,N,Y
1001781,N,N,N,N,Y
1003939,N,N,N,N,N
1000730,Y,N,N,N,Y
1003085,Y,N,N,N,N
1010440,Y,Y,N,Y,N
1010442,N,Y,N,N,N
1002126,N,N,N,N,N
1012660,Y,Y,N,Y,Y
1000254,Y,N,N,N,Y
1003393,N,N,N,N,N
1009274,Y,N,N,N,N
1001268,N,N,N,N,N
1001916,N,N,N,N,N
1012163,Y,N,N,N,Y
1001851,N,Y,N,N,N
1002609,N,N,N,N,N
1010004,Y,Y,N,Y,N
1009512,Y,N,N,N,N
1011911,Y,Y,N,Y,N
1000964,Y,N,N,N,N
1017936,Y,Y,N,Y,Y
1007473,N,N,N,N,N
1005232,N,N,N,N,N
1011829,Y,N,N,Y,Y
1001125,N,N,N,N,N
1008070,Y,Y,Y,Y,Y
1000154,N,N,N,N,N
1018396,Y,Y,N,Y,Y
1018223,Y,Y,N,Y,Y
1018563,Y,N,N,N,Y
1000208,Y,Y,N,Y,N
1002737,Y,Y,N,Y,Y
1005883,N,Y,N,Y,N
1005708,N,N,N,N,N
1007661,N,N,N,N,N
1008372,Y,N,Y,N,Y
1009271,Y,N,N,N,N
1005223,N,N,N,N,N
1003675,N,N,N,N,N
1001063,N,N,N,N,N
1005436,N,N,N,Y,Y
1010000,Y,Y,N,Y,Y
1008177,Y,Y,N,Y,Y
1004274,Y,N,N,N,Y
1008789,N,Y,Y,N,N
1005713,N,N,N,N,N
1016852,Y,N,N,N,N
1006960,N,N,N,N,N
1018092,Y,Y,N,Y,N
1004074,Y,N,Y,Y,Y
1001617,N,N,N,N,N
1018374,Y,N,N,N,N
1018134,Y,N,N,N,N
1006683,N,N,N,N,N
1018316,Y,N,N,N,Y
1018313,Y,N,N,N,Y
1002866,N,N,N,N,N
1005231,N,N,N,N,N
1009168,Y,N,N,N,N
1001513,N,N,N,N,N
1009399,Y,N,N,N,N
1010517,Y,N,N,N,N
1004185,N,N,N,N,N
1018353,Y,N,N,Y,Y
1001840,N,N,N,N,N
1011796,Y,N,N,N,Y
1003632,Y,Y,N,N,N
1005874,N,N,N,N,N
1006833,Y,Y,Y,Y,Y
1012632,Y,N,N,N,Y
1012583,Y,N,N,N,N
1001144,N,N,N,N,N
1018036,Y,N,N,N,Y
1001907,N,Y,N,N,N
1005908,N,Y,N,Y,N
1005230,Y,N,N,N,N
1000953,N,Y,N,Y,N
1002672,Y,N,N,N,N
1001016,N,N,N,N,N
1007073,N,N,N,N,N
1000101,Y,Y,Y,Y,Y
1000293,N,N,N,N,N
1011061,Y,N,N,N,N
1012513,Y,N,N,N,N
1006967,N,N,N,N,N
1012593,Y,N,N,N,N
1006886,N,N,N,N,N
1011174,Y,N,N,N,N
1004298,Y,Y,N,N,N
1018394,Y,N,N,N,Y
1005438,N,N,N,N,N
1003353,Y,Y,N,N,Y
1012335,Y,Y,N,N,Y
1001526,N,N,N,N,N
1003794,N,N,N,N,N
1003958,N,N,N,N,N
1001773,Y,Y,N,Y,Y
1001772,Y,N,N,N,Y
1009259,Y,N,N,N,N
1006980,N,N,N,N,N
1002728,N,N,N,N,N
1004020,Y,Y,N,Y,Y
1009682,Y,N,N,N,N
1006542,Y,Y,Y,Y,Y
1004534,Y,N,N,N,Y
1009863,Y,N,N,N,N
1006524,Y,Y,N,N,N
1008423,N,N,N,N,N
1006911,N,N,N,N,N
1000066,Y,Y,Y,Y,Y
1008806,Y,Y,N,Y,N
1007556,N,N,N,N,N
1008808,Y,N,Y,Y,Y
1004174,Y,Y,N,Y,N
1018467,Y,Y,N,Y,Y
1006498,Y,Y,N,Y,N
1000162,Y,Y,N,Y,N
1010329,Y,N,Y,Y,Y
1012320,Y,N,N,N,Y
1006913,N,N,N,N,N
1006731,N,N,N,N,N
1009876,N,Y,Y,Y,N
1008629,N,N,N,N,N
1000023,Y,N,N,N,N
1005051,N,N,N,N,N
1010748,Y,N,N,N,Y
1018227,Y,N,Y,Y,Y
1003062,Y,N,N,N,N
1008830,Y,Y,N,Y,N
1007584,N,N,N,N,N
1000156,N,N,N,N,N
1008401,Y,Y,N,N,Y
1003465,N,N,N,N,N
1005714,Y,Y,N,Y,N
1002178,N,N,N,N,N
1012403,Y,Y,Y,Y,Y
1007428,N,N,N,N,N
1006926,N,N,N,N,N
1002407,Y,Y,N,Y,Y
1018461,Y,N,N,N,Y
1011075,Y,N,N,N,Y
1003052,N,N,N,N,N
1007663,N,N,N,N,N
1003139,N,N,N,N,N
1007746,N,N,N,N,N
1007558,N,N,N,N,N
1004819,N,N,N,N,N
1017946,Y,N,N,N,N
1018556,Y,Y,N,Y,Y
1011349,Y,Y,N,N,Y
1008611,Y,N,N,N,Y
1003004,Y,Y,Y,Y,Y
1005878,N,Y,Y,Y,N
1001610,N,N,N,N,N
1003867,N,N,N,N,N
1006853,Y,N,N,N,N
1006305,Y,N,N,N,N
1008568,Y,N,N,N,N
1011201,Y,N,N,N,N
1004664,N,N,N,N,N
1005068,N,N,N,N,N
1001519,Y,Y,N,Y,Y
1002700,Y,N,N,Y,Y
1011212,Y,Y,N,N,Y
1000781,N,Y,N,N,N
1007207,N,N,N,N,N
1011242,Y,N,N,N,N
1008382,Y,N,N,N,Y
1009462,Y,N,N,N,N
1004823,N,N,N,N,N
1003816,N,N,N,N,N
1005440,Y,Y,N,N,Y
1003717,N,N,N,N,N
1005483,N,Y,Y,Y,N
1003513,N,N,N,N,N
1000541,N,N,N,N,N
1007649,N,N,N,N,N
1007650,N,N,N,N,N
1007502,N,N,N,N,N
1012058,Y,N,N,N,N
1004480,N,N,N,N,N
1007474,N,N,N,N,N
1000309,Y,Y,N,Y,Y
1008017,Y,N,N,N,N
1010604,Y,N,N,N,N
1002198,N,N,N,N,N
1010335,N,N,N,N,N
1005301,Y,Y,N,Y,Y
1005321,Y,Y,N,Y,Y
1001493,N,N,N,N,N
1006306,Y,N,N,N,N
1009948,Y,Y,N,N,Y
1016864,Y,N,N,N,Y
1010385,Y,Y,N,Y,Y
1000821,N,N,N,N,N
1007603,N,N,N,N,N
1018260,Y,Y,N,Y,Y
1018661,Y,N,N,Y,N
1006039,N,N,N,N,N
1000095,Y,Y,Y,Y,Y
1012744,Y,Y,Y,Y,Y
1006203,N,N,N,N,N
1005367,Y,Y,Y,Y,Y
1000787,Y,Y,N,Y,Y
1001097,Y,Y,Y,Y,Y
1007361,Y,Y,Y,Y,N
1003988,Y,N,N,N,N
1006915,N,N,N,N,N
1002166,Y,N,N,Y,N
1012726,Y,N,N,N,N
1005482,Y,N,N,N,N
1005671,N,N,Y,Y,N
1018280,Y,Y,Y,Y,Y
1012257,Y,Y,Y,Y,Y
1005212,N,N,N,N,N
1012091,Y,Y,N,Y,Y
1000100,Y,Y,Y,Y,Y
1000775,N,N,N,N,N
1007767,N,N,N,N,N
1001371,N,N,N,N,N
1006584,N,Y,N,Y,Y
1002427,Y,N,N,N,Y
1008379,Y,N,N,N,N
1001086,Y,Y,Y,Y,Y
1005909,Y,N,N,N,N
1012171,Y,Y,Y,Y,Y
1017989,Y,Y,N,N,Y
1001751,N,N,N,N,N
1005744,N,N,N,N,N
1009737,N,N,N,N,Y
1009736,N,N,N,N,Y
1018135,Y,Y,Y,Y,Y
1012818,Y,Y,Y,Y,Y
1017938,Y,Y,N,N,Y
1009721,Y,N,N,Y,N
1004188,N,N,N,N,N
1004405,N,N,N,N,N
1001326,N,N,N,N,N
1001910,Y,N,N,Y,Y
1008036,N,Y,N,N,N
1006168,Y,Y,N,N,Y
1008924,Y,Y,Y,Y,Y
1008922,Y,Y,N,Y,Y
1006966,N,N,N,N,N
1009204,Y,N,N,N,N
1017968,Y,Y,N,Y,N
1000211,N,N,N,N,N
1000161,N,N,N,N,N
1007142,N,N,N,N,N
1016892,Y,Y,Y,N,Y
1006260,N,N,Y,Y,N
1008607,Y,N,N,N,Y
1007369,Y,N,N,N,N
1012625,Y,Y,N,N,N
1008485,Y,Y,N,Y,Y
1011923,Y,N,N,N,N
1006164,N,N,N,N,N
1008472,Y,N,N,N,N
1011832,Y,N,N,N,N
1009437,Y,N,N,N,N
1001707,Y,Y,Y,Y,Y
1003921,N,N,N,N,N
1009376,Y,N,N,N,N
1008953,Y,Y,Y,N,Y
1005010,N,N,N,N,N
1000170,N,N,N,N,N
1006844,N,N,N,N,N
1006166,N,N,N,N,N
1006993,N,N,N,N,N
1002305,Y,N,N,N,N
1001368,N,N,N,N,N
1010621,Y,N,N,N,N
1000843,Y,Y,N,Y,Y
1001541,Y,Y,Y,N,N
1018514,Y,N,N,N,Y
