FMID,MarketName,Website,Facebook,Twitter,Youtube,OtherMedia,updateTime
1005310,33rd and Diamond Farmers' Market,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,,2015-03-24T14:28:01Z
1018389,38th & Meridian Farmer's Market ,,,,,,2017-06-26T08:19:14Z
1012280,39 North Marketplace,http://www.39northdowntown.com,39 North ,39North Downtown,,,2016-07-06T17:19:49Z
1004414,3rd & Curry St. Farmers Market,http://www.carsonfarmersmarket.com,,,,,2012-05-18T16:12:09Z
1011213,441 Ministries Farm Stand,,,,,,2015-06-08T09:22:25Z
1010965,4th and Lehigh Farmers' Market,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,,2015-03-24T15:11:40Z
1006234,4th Street Farmers Market,http://www.4thstreetfarmersmarket.com,,,,,2011-01-01T05:00:00Z
1006494,52 & Shadeland Avenue Farmers Market,,,,,,2009-01-01T05:00:00Z
1005304,52nd and Haverford Farmers' Market,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,,2015-03-24T14:38:14Z
1000060,57th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,2013-07-24T11:06:00Z
1005306,58th and Chester Farmers' Market,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,,2015-03-24T14:35:04Z
1018426,61st Street Farmers Market,http://61market.org,facebook.com/61market,@61market,,Instagram: @61market,2017-06-27T13:04:53Z
1012500,6th Street Market in Downtown Tempe,http://arizonacommunityfarmersmarkets.com,www.facebook.com/6thstmarket/,,,www.instagram.com/6thstmarket/,2016-07-12T15:50:15Z
1000061,79th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,2013-07-24T10:54:51Z
1000062,82nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,2013-07-24T10:50:27Z
1008391,84 west farmers market (Dothan),,,,,,2014-03-15T09:29:24Z
1001961,8th Avenue City Farmers Market,,,,,,2012-04-25T13:17:22Z
1000063,92nd Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,2013-07-24T10:43:59Z
1000064,97th Street Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,2013-07-24T10:39:55Z
1011989,9th and Grand Farmers Market,http://Farmtoforkks.com,,,,,2016-05-28T15:39:24Z
1000986,9th West Farmers Market/People's Market ,http://www.9thwestfarmersmarket.org,https://www.facebook.com/9thwestfarmersmarket,https://twitter.com/peoplesmarket,,,2016-06-28T01:05:51Z
1010617,A + Organic Farmers Market,http://organicgrowndirect.com/,https://www.facebook.com/OrganicProduceDelivery,https://twitter.com/OrganicGrownDr,http://www.youtube.com/user/OrganicGrownDirect,http://organicgrowndirect.com/shop,2014-09-29T13:37:38Z
1001683,A Better Choice Bakery & Market,,https://www.facebook.com/nottinghamfarmersmarket,,,,2012-05-03T17:01:00Z
1009004,A Growers' Market,,,,,,2014-05-06T22:28:06Z
1001887,AAFFA Community Farmers Market,,https://www.facebook.com/pages/Anderson-Area-Farm-Food-Association/431344110224404,,,,2014-04-08T13:54:22Z
1007585,AAMC Farmers's Market,,,,,,2011-07-23T23:54:21Z
1009028,ABBEVILLE FARMERS MARKET,,https://www.facebook.com/pages/Abbeville-Farmers-Market/234180039938887,,,,2014-04-05T19:27:30Z
1004573,Abbeville Farmers Market,,,,,,2013-07-11T13:41:58Z
1004598,Abbotsford Farmers Market,,,,,,2012-05-07T10:47:54Z
1003865,Abbott Northwestern Farmers Market,http://www.iatp.org/minimarkets,,,,,2010-05-26T23:24:00Z
1002947,Aberdeen Farmers Market,http://www.dakotaflavor.com/category.asp?catid=12,,,,,2009-01-01T05:00:00Z
1004031,Abilene Farmers Market,,,,,,2009-01-01T05:00:00Z
1010487,Abingdon Farmers Market,http://www.abingdonfarmersmarket.com,https://www.facebook.com/abingdonfarmersmarket,,,,2016-03-02T10:20:28Z
1000065,Abingdon Square Greenmarket,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,,2013-07-24T10:36:51Z
1006988,Abington,http://www.abingtonsage.com,,,,,2014-03-14T10:44:35Z
1007070,Abington Farmers Market,,,,,,2009-01-01T05:00:00Z
1011313,Abita Springs Farmers Market,,https://www.facebook.com/pages/Abita-Springs-Farmers-Market/480144062040727,,,,2016-06-30T13:50:15Z
1004762,ABQ Uptown Growers' Market,http://www.abquptowngrowersmarket.org,,,,,2014-06-05T14:51:15Z
1009543,ABV Farm Market,http://www.appleblossomvillage.com/,https://www.facebook.com/pages/Apple-Blossom-Village/105223639518965,,,,2013-01-01T05:00:00Z
1002108,Acadia Farmers' Market in Town Hill,,www.Facebook.com/AcadiaFarmersMarket,,,,2009-01-01T05:00:00Z
1007575,Acadiana Farmers Market,,,,,,2011-01-01T05:00:00Z
1005122,Ace Farmers Market,,,,,,2011-01-01T05:00:00Z
1008461,Acme Ranch Truck Patch,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=1877,,,,,2013-06-25T15:20:55Z
1011180,Acreage Green Market,http://Www.AcreageGreenMarket.com,https://www.facebook.com/AcreageGreenmarket,,,,2015-05-21T02:02:58Z
1003469,Acton-Boxborough Farmers Market,http://www.ABFarmersMarket.org,,,,,2012-05-24T13:08:35Z
1018003,Acushnet Farmers Market,http://www.acushnetfarmersmarket.com,www.facebook.com/pages/Acushnet-Farmers-Market,,,http://instagram.com/Acushnetfarmersmarket,2017-05-18T19:04:50Z
1007519,Acworth Farmers Market,,,,,,2009-01-01T05:00:00Z
1001393,Ada Farmer's Market,,,,,,2014-04-02T10:18:53Z
1001083,Ada Farmers' Market,http://www.adafarmersmarket.com,https://www.facebook.com/adafarmersmarket,https://twitter.com/AdaFarmersMkt,,,2015-03-19T11:44:10Z
1006969,AdairCo Farmers Market,,,,,,2011-01-01T05:00:00Z
1010467,Adairsville Farmers' Market,http://www.adairsvillefarmersmarket.com,Adairsville Farmers Market,,,,2014-08-07T10:08:33Z
1017937,Adams County Farmers' Market Association (PA),http://acfarmersmarkets.org,Adams County Farm Fresh Markets,,,Instagram: Adams County Farm Fresh,2017-04-25T15:03:14Z
1011322,Adams County Farmers' Market Association (PA),http://www.acfarmersmarkets.org,Adams County Farm Fresh Markets,,,,2016-06-27T16:23:25Z
1010354,Adams Farmers' & Artisans' Market,,https://www.facebook.com/Adams.Farmers.Market,,,,2014-07-08T11:11:58Z
1018278,Adams Morgan Farmer Market,http://www.lickingcreekbendfarm.com,https://www.facebook.com,,,https://www.instagram.com/lickingcreekbendfarm/,2017-06-21T09:33:38Z
1008961,Adaptations' Fresh Feast,http://www.adaptationsaloha.com,https://www.facebook.com/adaptationsaloha,https://twitter.com/MaureenDatta,,http://instagram.com/adaptationskona,2014-03-13T17:13:16Z
1005109,Added Value Farm Stand at Governors Island,,,,,,2011-01-01T05:00:00Z
1002464,Addison Farmers Market,,,,,,2009-01-01T05:00:00Z
1005741,Adel Farmers Market,,,,,,2009-01-01T05:00:00Z
1005272,Adelanto Stadium Farmers Market,,,,,,2009-01-01T05:00:00Z
1012288,Adrian Farmers Market,,,,,,2016-07-06T21:49:50Z
1011214,Aenon Baptist Church Farm Stand,,,,,,2015-06-08T09:24:05Z
1008667,Afton Village Farmers Market,http://www.piedmont-farmersmarket.com,,,,,2013-06-27T13:53:54Z
1007586,AGH Wellness Committee Farmer's Market,,,,,,2011-07-23T23:58:45Z
1012233,Agricenter International Farmers Market,http://www.agricenter.org/farmers-market/,https://www.facebook.com/farmersmarketmemphis/,https://twitter.com/Agricenter_Intl,,https://www.instagram.com/agricenterinternational/,2016-07-05T11:28:19Z
1003562,Agritopia Farm Stand,http://www.thefarmatagritopia.com,https://www.facebook.com/TheFarmAtAgritopia,https://twitter.com/AgritopiaFarm,,https://instagram.com/agritopiafarm/,2015-08-13T12:14:20Z
1011830,Ahwatukee Farmers Market,,,,,,2016-03-25T16:32:55Z
1000212,Aiken County Farmers Market,http://www.VisitAikenSC.com,,,,,2013-06-17T16:01:53Z
1008054,Airport Farmers and Flea Market,,https://www.facebook.com/pages/Airport-Farmers-and-Flea-Market/,,,,2015-03-19T11:45:37Z
1007542,Akebono Farmers’ Market,,,,,,2011-01-01T05:00:00Z
1011967,Akers of Strawberries,http://Www.akersofstrawberries.com,www.facebook.com/AkersofStrawberries,,,,2016-05-18T21:16:39Z
1001801,Akron Farmers Market,,,,,,2009-01-01T05:00:00Z
1005061,Akwesasne Farmers Market,,,,,,2009-01-01T05:00:00Z
1004086,Alabama Gulf Coast Market,,,,,,2015-01-25T14:33:13Z
1008612,Alachua County Farmers' Market,http://www.441market.com,https://www.facebook.com/441acfmarket,,,http://pinterest.com/441market,2013-06-27T10:09:35Z
1006312,Alamance County Farmers Market,,,,,,2009-01-01T05:00:00Z
1009019,Alameda Farmers' Market,http://www.pcfma.com,https://www.facebook.com/AlamedaFarmersMarket,,,,6/27/2016 12:57:44 PM
1004846,Alamo Farmers Market,,,,,,2013-06-11T19:20:50Z
1018304,Alamo Heights Farmers Market,,https://www.facebook.com/AlamoHeightsFarmersMarket/,https://twitter.com/AlamoHeightsFM,,https://www.instagram.com/alamoheightsfm/?hl=en,2017-06-21T13:43:48Z
1011033,Alamogordo Farmers' Market in Alameda Park,https://www.localharvest.org/alamogordo-farmers-market-in-alameda-park-M37997,https://www.facebook.com/AlamogordoFarmersMarket/,,,,2017-04-24T14:46:07Z
1004789,Alamogordo Otero County Farmers' Market,http://farmersmarketsnm.org/Shoppers/FindMarket/find.php,,,,http://www.localharvest.org/alamogordo-otero-county-farmers-produce-and-craft-market-alamogord-farmers-market-M2737,2014-05-20T17:04:12Z
1004070,Alamosa Farmers Market,http://www.alamosafarmersmarket.org,https://www.facebook.com/pages/Alamosa-Farmers-Market/104375596315429?fref=ts,,,,2015-03-19T16:25:00Z
1004425,Albany  Downtown Farmers Market,http://www.eastbaker.net,,,,,2012-05-24T18:23:23Z
1002175,Albany Farmers' Market,http://www.locallygrown.org,https://www.facebook.com/Corvallis.Albany.Farmers.Markets,https://twitter.com/RebeccaCAFM,,https://www.flickr.com/photos/50026834@N04/sets/,2016-06-28T11:29:32Z
1011108,Albert Lea Farmers Market,http://albertleafarmersmarket.com,Albert Lea Farmers Market,,,,2015-05-02T09:49:27Z
1004886,ALBERTA FARMERS MARKET,,,,,,2011-01-01T05:00:00Z
1010559,Albion Farmer's Market,http://greateralbionchamber.org,,,,,2014-08-28T11:40:08Z
1010407,Albuquerque Downtown Growers' Market,http://DowntownGrowers.com,https://www.facebook.com/downtowngrowers?focus_composer=true&ref_type=bookmark,,,,2014-08-05T11:39:34Z
1004761,Albuquerque Northeast Farmers' Market,http://www.abqnemarket.org,https://www.facebook.com/abqnemarket?fref=ts,,,www.FarmersMarketsNM.org,2014-06-05T14:54:49Z
1007016,Albuquerque VA Growers' Market,,,,,,2009-01-01T05:00:00Z
1002222,Alcona Farmers Market,http://www.alconalocalfoods.org,,,,,5/19/2011 12:38:58 PM
1008252,Alderson Farmers Market ,http://www.aldersonmarket.org,https://www.facebook.com/aldersonfood,,,,2013-06-20T07:04:21Z
1003236,Aldrich Arena Farmers Market,http://www.stpaulfarmersmarket.com,,,,,2009-01-01T05:00:00Z
1011910,Aledo Farmers Market,http://www.aledo-texas.com,City of Aledo,,,,2016-04-28T17:02:14Z
1010597,Alexander County Farmers Market,,,,,,2014-09-19T08:46:28Z
1000519,Alexandria Bay Farmers Market,http://www.visitalexbay.org,https://www.facebook.com/pages/Alexandria-Bay-Chamber-of-Commerce/82504121853,,,,2014-04-01T09:36:04Z
1018643,Alexandria Farmers Market,https://www.facebook.com/AlexandriaFarmersMarket/,Alexandria Farmers Market,,,@alexandriafarmersmarket (Instagram),2017-07-10T16:03:59Z
1007366,Alexandria Farmers' Market,http://www.mfma.org/alexandria,,,,,2014-03-14T11:12:47Z
1011196,Alfred Farmers Market,https://www.alfredfarmersmarket.com,https://www.facebook.com/Alfredfarmersmarket,,,,2016-04-29T09:07:56Z
1007217,Algoma Farm Market,,,,,,2011-01-01T05:00:00Z
1001300,Algonquin Farmers Market,,,,,,2009-01-01T05:00:00Z
1007528,Alii Garden Market Place,,,,,,2009-01-01T05:00:00Z
1008835,Alisal Certified Farmers' Market,http://www.everyonesharvest.org,https://www.facebook.com/EveryonesHarvest,,,,2016-06-27T15:24:13Z
1005548,All Locally Grown Produce,http://www.teenaspridecsa.com,https://www.facebook.com/teenaspridecsa,https://twitter.com/teenaspridecsa,,,2016-06-28T08:58:06Z
1011735,All Natural & Certified Organic Farmer Market (HOPE FARM),http://www.hopeforsfs.org,Facebook.com/HOPESFS,,,,2016-07-16T20:24:50Z
1010096,All Saints' Farmers Market,,https://www.facebook.com/allsaintsfarmersmarket,,,,5/4/2014 12:52:58 PM
1000268,All-Local Farmers Market,http://www.stateplate.org,,,,,2010-04-16T05:06:00Z
1000168,All-Local Farmers Market 2,http://www.localharvest.org,,,,,2010-04-16T05:07:00Z
1001962,Allamakee Farmers Market,,,,,,2016-07-05T11:17:25Z
1002717,Allegan Farmers Market,,https://www.facebook.com/Allegan-Farmers-Market-146878898707147/,,,,2016-03-14T14:51:31Z
1008262,Alleghany Farmers Market,http://www.alleghanyfarmersmarket.com,https://www.facebook.com/pages/Alleghany-Farmers-Market/102331033194610,,,,2013-06-20T11:14:07Z
1018160,Allen County Farmers Market - Tuesday,http://thriveallencounty.org/farmers-market/,https://www.facebook.com/Allen-County-Farmers-Market-140163699399288/,@RchallieRobin,,Instagram - schallierobin,2017-06-20T13:54:44Z
1018165,Allen County Farmers' Market - Saturday,http://thriveallencounty.org/farmers-market/,https://www.facebook.com/Allen-County-Farmers-Market-140163699399288/,@RchallieRobin,,Instagram - schallierobin,2017-06-20T14:01:55Z
1018105,Allen County Farmers' Market - Thursday,http://thriveallencounty.org/farmers-market/,https://www.facebook.com/Allen-County-Farmers-Market-140163699399288/,@RchallieRobin,,Instagram - schallierobin,2017-06-20T13:56:54Z
1011777,Allen Farmers Market,http://allenneighborhoodcenter.org/food/market/,https://www.facebook.com/AllenFarmersMarket/,,,,2017-04-11T09:13:06Z
1007413,Allendale County Farmers Market,,,,,,2009-01-01T05:00:00Z
1007716,Allentown Farigrounds Farmers Market,http://www.fairgroundsfarmersmkt.com,,,,,2009-01-01T05:00:00Z
1007083,Allentown Turnpike Plaza Farmers Market,,,,,,2009-01-01T05:00:00Z
1002964,Alliance Farmers Market,,,,,,2009-01-01T05:00:00Z
1005675,Alliance Farmers' Market,http://www.alliancefarmersmarket.com,https://www.facebook.com/alliancefarmersmarket,,,,2013-06-13T11:25:29Z
1006739,Alliance for the Arts GreenMarket,http://www.artinlee.org,https://www.facebook.com/pages/Alliance-for-the-Arts-GreenMarket/224616377554765,,,,2014-04-02T14:50:58Z
1002683,Allston Farmers' Market,http://www.dining.harvard.edu/flp/ag_market.html,,,,,2014-04-08T09:09:39Z
1005134,Allston Village Farmers Market,http://www.allstonbrightoncdc.org/,https://www.facebook.com/AllstonVillageFarmersMarket,https://twitter.com/AVFarmersMarket,,,2013-06-13T07:48:19Z
1006816,Alma Farmers Market,,,,,,2009-01-01T05:00:00Z
1002250,Alma Farmers' Market,,,,,,2014-03-31T16:13:51Z
1007836,Almont Farmers' Market,http://www.almontfarmersmarket.com,,,,,2011-01-01T05:00:00Z
1012389,Aloha Community Farmers' Market,http://www.alohacommunityfarmersmarket.org,https://www.facebook.com/Aloha-Community-Farmers-Market-913645008655691/,@AlohaFarmMarket,,Instagram: Aloha Community Farmers' Market,2016-07-10T20:41:55Z
1010476,Alpena Farmers' Market,http://alpenafarmersmarket.org,Friends of the Alpena Farmers Market,,,,2014-08-10T09:04:19Z
1005447,Alpha Nursery Farmers' Market,http://www.alpha-nursery.com,,,,,2014-03-27T10:51:26Z
1009792,Alsip Farmers Market,http://www.alsipparks.org,,,,,2014-04-04T19:03:05Z
1009998,Altadena Farmers' Market,http://www.altadenafarmersmarket.com,https://www.facebook.com/AltadenaFarmersMarket,https://twitter.com/AltadenaFM,,http://altadenafm.tumblr.com,2014-04-22T13:29:47Z
1004383,Altamont Farmer's Market,,,,,,2014-04-01T09:30:10Z
1000357,Altavista Farmers Market,http://www.ci.altavista.va.us,,,,,2009-01-01T05:00:00Z
1006749,Alton Farmers' and Artisans' Market,http://www.DowntownAlton.com,https://www.facebook.com/AltonFarmersMarket,,,,2014-05-23T13:56:59Z
1004154,Altoona Farmers Market,,,,,,2009-01-01T05:00:00Z
1001100,Altus Farmers Market,,,,,,4/20/2011 12:47:09 PM
1011421,Alum Rock Village Farmers' Market,http://www.pcfma.org,www.facebook.com/AlumRockVillageFarmersMarket,www.twitter.com/PacCoastFarmers,,,7/20/2015 12:39:04 PM
1001733,Alva Farmers Market,,,,,,2009-01-01T05:00:00Z
1005644,Amador Farmers' Market-- Jackson,http://www.amadorfarmersmarket.com,,,,,2015-03-27T18:09:06Z
1005645,Amador Farmers' Market-- Pine Grove,http://www.amadorfarmersmarket.com,,,,,2015-03-27T17:51:19Z
1005646,Amador Farmers' Market-- Sutter Creek,http://www.amadorfarmersmarket.com,,,,,2015-03-27T17:50:12Z
1001826,Ambridge Farmers Market,,,,,,2009-01-01T05:00:00Z
1008321,Amelia Barter Town Farmers Market,http://www.Ameliamarket.org,https://www.facebook.com/AmeliaBarterTown,,,,2014-04-30T09:06:02Z
1008399,Amelia Farmers Market,http://www.ameliafarmersmarket.com,https://www.facebook.com/AmeliaFarmersMarket,,,,2013-06-25T07:04:07Z
1006373,Amenia Farmers Market,,,,,,2011-01-01T05:00:00Z
1001367,American National Bank Downtown Farmers Market Festival,,,,,,2011-01-01T05:00:00Z
1005946,Amerisafe Downtown Pavilion & Farmers Market,http://www.cityofderidder.org,,,,,2009-01-01T05:00:00Z
1005188,Amery Farmers Market,,,,,,2011-04-13T15:44:41Z
1011171,Ames Main Street Farmers' Market,http://www.amesmainsteetfarmersmarket.com,Ames Main Street Farmers' Market,,,,2016-06-29T11:00:24Z
1000284,Amherst Farmers' Market,http://www.AmherstFarmersMarket.com,https://www.facebook.com/pages/Amherst-Farmers-Market/112695142075630,,,,2015-07-22T13:44:46Z
1006748,Amherst Wednesday Market at Kendrick Park,http://www.kendrickparkmarket.com,https://www.facebook.com/pages/Wednesday-Market-at-Kendrick-Park/210000299034343,,,,2014-05-19T21:58:57Z
1009833,Amherst Winter Farmers' Market,http://www.amherstwintermarket.com,https://www.facebook.com/pages/Amherst-Winter-Farmers-Market/107328206002708,,,,2016-06-29T16:17:52Z
1001135,Amma Farmers Market,,,,,,2013-06-24T14:16:06Z
1010105,Amqui Station Farmers Market,http://www.amquistation.org/farmers-market,https://www.facebook.com/AmquiStation,https://twitter.com/amquistation,,http://instagram.com/amquistation,2015-05-07T13:58:33Z
1016853,Amsterdam Saturday Farmers/Crafters Market,http://www.fmfma.org,Amsterdam Saturday Farmers Market,@BenWallach1,,,2017-03-02T10:42:40Z
1012157,Anaconda Community Market,http://www.anacondacommunityfoundation.org/anaconda-community-market.html,https://www.facebook.com/groups/478915098830452/,,,,2016-06-30T18:19:02Z
1005944,Anacortes Farmers Market,http://www.anacortesfarmersmarket.org,https://www.facebook.com/AnacortesFarmersMarket,,,,2016-06-29T23:40:36Z
1001105,Anamoose Market in the Park,,https://www.facebook.com/AnamooseMarketInThePark,,,,2014-03-31T20:18:29Z
1003055,Anamosa Farmers Market,,,,,,2009-01-01T05:00:00Z
1007258,Anchorage Farmers Market,http://www.anchoragefarmersmarket.org,,,,,2014-03-17T15:11:25Z
1002640,Anchorage Market & Festival,http://www.anchoragemarkets.com,,,,,2011-04-20T17:23:21Z
1016848,Anderson City Market,,https://www.facebook.com/AndersonCityMarket/?notif_t=page_fan&notif_id=1488215639357972,,,,2/27/2017 12:24:19 PM
1008251,Anderson County Farmers Market,http://andersoncountysc.org/web/Farmers_00.asp,https://www.facebook.com/andersoncountyfarmersmarket,,,,2014-05-19T11:09:00Z
1008727,Anderson County Farmers Market ,,https://www.facebook.com/AndersonCoFarmersMarket,,,,2014-03-22T09:33:22Z
1000971,Anderson Farm Market,,,,,,2009-01-01T05:00:00Z
1004991,Anderson Farmers' Market,http://www.andersonfarmersmarket.org,,,,,2016-06-28T09:18:01Z
1002089,Anderson Happy Valley Farmers Market,,,,,,2009-01-01T05:00:00Z
1003516,Andersonville Farmers Market,http://www.andersonville.org,https://www.facebook.com/andersonville?ref=bookmarks,,,,2015-03-20T15:57:09Z
1007647,Andover Farmers Market,,,,,,2012-05-25T08:41:41Z
1012040,Andover Farmers' Market,http://www.andoverhistorical.org/andover-farmers-market,https://www.facebook.com/andoverfarmersmarket/?ref=aymt_homepage_panel,,,,2016-06-27T16:09:33Z
1000287,Andrews Farmers Market,http://www.andrewsfarmersmarket.com,,,,,2009-01-01T05:00:00Z
1006378,Angelica Farmers' Market,http://www.localharvest.org/angelica-farmers-market-M23451,https://www.facebook.com/AngelicaFarmersMarket,,,,2016-07-01T09:37:48Z
1010280,Angelina County Farmers Market,http://visitlufkin.com/ShopDine/FarmersMarket/,https://www.facebook.com/angelinacountyfarmmarket/settings?tab=public&section=web_address,,,,2014-06-08T12:14:04Z
1006268,Angels Camp Farmers Market-Fresh Fridays,http://www.angelscampbusiness.com/events/fresh-fridays/,,,,,2012-05-01T11:19:26Z
1010223,Ann Arbor Farmers Market,http://www.a2gov.org/market,https://www.facebook.com/a2market,https://twitter.com/a2market,,,2014-05-23T14:33:39Z
1010380,Anna House Farm Stand,http://www.childcarenassau.org,www.facebook.com/longislandfarmtopreschool,,,,2015-04-20T16:21:51Z
1001782,Anna/Union County Farmers Market,,,,,,2009-01-01T05:00:00Z
1012588,Annandale Farmers Market ,http://www.fairfaxcounty.gov/parks/farmersmarkets/annandalemkt.htm,,,,,2016-07-14T14:03:14Z
1001142,Anne Arundel County Farmers' Market  (Riva),http://www.aacofarmersmarket.com/,"Anne Arundel County Farmers Market, INC",,,,2016-06-27T15:25:18Z
1004881,Anne Heyliger Vegetable Market,,,,,,2009-01-01T05:00:00Z
1001465,Anoka County Growers Association/ Anoka Market,,,,,,2012-05-24T15:31:31Z
1007646,Anoka County Growers/ St. Timothy Church Blaine,,,,,,2012-05-24T16:50:59Z
1007636,Anoka County Growers/Immaculate Conception Church,,,,,,2009-01-01T05:00:00Z
1000306,Anselma Farmers' and Artisans' Market,,https://www.facebook.com/anselmamarket,,,,2012-05-17T15:34:06Z
1000405,Anson County Farmers Market,,,,,,2012-04-26T14:36:32Z
1011248,Antelope Valley Winery Farmer's Market ,http://www.avwinery.com,,,,,2015-06-17T15:17:08Z
1012651,Anthem Farmers Market,http://www.arizonacommunityfarmersmarkets.com/FM_Anthem.html,ww.facebook.com/Anthem-Farmers-Market-608872579141231/,Anthemfm1,,,2016-07-15T13:25:45Z
1000434,Anthony Farmers Market,,,,,,2013-06-12T11:49:22Z
1004557,"Antigo Farmers Market, Inc.",http://www.antigomarket.com,https://www.facebook.com/AntigoFarmersMarketInc,,,,2015-07-27T17:53:14Z
1011109,Apex Farmers Market,http://www.apexfarmersmarket.com,https://www.facebook.com/apexfarmersmarket,,,,2015-05-02T15:22:12Z
1011158,"Appalachian (Newport) Farmers Market, Cocke County TN",,Newport Farmers Market or Appalachian Farmers Market,,,,2016-06-10T08:59:09Z
